crm_id,deal_name,company_name,stage,amount,days_stalled,rep_touchpoints,client_engagement_index,calculated_flight_risk,predicted_cycle_days,est_days_left,flight_risk_pct,crm_source
006fj00000G33g5AAB,Dickenson Mobile Generators,Dickenson plc,Qualification,15000.0,1,2,5.8,4.4,7.0,6.0,4.4,
006fj00000G33g6AAB,United Oil Office Portable Generators,United Oil & Gas Corp.,Negotiation/Review,125000.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000G33g9AAB,Grand Hotels Kitchen Generator,Grand Hotels & Resorts Ltd,Id. Decision Makers,15000.0,1,2,5.8,4.4,7.0,6.0,4.4,
006fj00000G33gAAAR,United Oil Refinery Generators,United Oil & Gas Corp.,Proposal/Price Quote,270000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000G33gCAAR,Grand Hotels Guest Portable Generators,Grand Hotels & Resorts Ltd,Value Proposition,250000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000G33gFAAR,Pyramid Emergency Generators,Pyramid Construction Inc.,Prospecting,100000.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000G33gGAAR,Express Logistics Portable Truck Generators,Express Logistics and Transport,Value Proposition,80000.0,1,2,5.8,3.8,8.0,7.0,3.8,
006fj00000G33gHAAR,GenePoint Lab Generators,GenePoint,Id. Decision Makers,60000.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000G33gJAAR,United Oil Installations,United Oil & Gas Corp.,Negotiation/Review,270000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000G33gPAAR,University of AZ Installations,University of Arizona,Proposal/Price Quote,100000.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000G33gQAAR,Express Logistics SLA,Express Logistics and Transport,Perception Analysis,120000.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000G33gYAAR,United Oil Plant Standby Generators,United Oil & Gas Corp.,Needs Analysis,675000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000G33gZAAR,Edge Emergency Generator,Edge Communications,Id. Decision Makers,35000.0,1,2,5.8,3.8,6.0,5.0,3.8,
